YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
1999,stand-up comedian,9/16/1999,Comedy,David Cross
1999,actor,9/20/1999,Acting,Andy Richter
1999,singer,9/21/1999,Musician,Donny Osmond Marie Osmond
1999,comedian,9/22/1999,Comedy,Dave Chappelle
1999,actor,9/23/1999,Acting,Steve Zahn
1999,Stand-up comedian,9/27/1999,Comedy,Norm Macdonald
1999,actress,9/28/1999,Acting,Melissa Joan Hart
1999,Comedian,9/29/1999,Comedy,Richard Lewis
1999,actor,9/30/1999,Acting,Bruce McCulloch and Mark McKinney
1999,comedian,9/30/1999,Comedy,Bruce McCulloch and Mark McKinney
2000,football player,1/10/2000,Athletics,Joe Montana
2000,actor,1/11/2000,Acting,Will Ferrell
2000,rapper,1/12/2000,Musician,Ice Cube
2000,Singer-lyricist,1/13/2000,Musician,Michael Stipe
2000,actress,1/17/2000,Acting,Penelope Ann Miller
2000,actor,1/18/2000,Acting,Frankie Muniz
2000,actor,1/19/2000,Acting,Freddie Prinze Jr.
2000,former mayor of cincinatti,1/20/2000,Politician,Jerry Springer
2000,Film actress,1/24/2000,Acting,Selma Blair
2000,Film actor,1/25/2000,Acting,Peter Krause
2000,model,1/26/2000,Media,Jenny McCarthy
2000,actor,1/27/2000,Acting,David Arquette
2000,actress,1/4/2000,Acting,Cynthia Nixon
2000,Singer-songwriter,1/5/2000,Musician,Robbie Williams
2000,Stand-up comedian,1/6/2000,Comedy,Richard Belzer
2000,singer-songwriter,10/16/2000,Musician,Alice Cooper
2000,actor,10/17/2000,Acting,Christian Slater
2000,actor,10/18/2000,Acting,Joshua Jackson
2000,actor,10/19/2000,Acting,Brendan Fraser
2000,actor,10/2/2000,Acting,Dean Cain
2000,actor,10/23/2000,Acting,Kevin James
2000,comedian,10/24/2000,Comedy,Jeff Garlin
2000,businesswoman,10/25/2000,Business,Posh Spice & Baby Spice
2000,singer,10/25/2000,Musician,Posh Spice & Baby Spice
2000,actor,10/26/2000,Acting,Steven Weber
2000,actor,10/3/2000,Acting,Ashton Kutcher
2000,actress,10/30/2000,Acting,Brett Butler
2000,journalist,10/31/2000,Media,David Frost
2000,singer-songwriter,10/4/2000,Musician,Jewel
2000,activist,10/5/2000,Advocacy,Ralph Nader
2000,Media person,11/1/2000,Media,Phil Donahue
2000,actor,11/13/2000,Acting,Adam Sandler
2000,actress,11/14/2000,Acting,Patricia Arquette
2000,actor,11/15/2000,Acting,Adam Sandler
2000,actor,11/16/2000,Acting,Rhys Ifans
2000,actor,11/2/2000,Acting,Michael Richards
2000,NA,11/20/2000,NA,Tales of Survival with Vance DeGeneres
2000,actor,11/27/2000,Acting,John Goodman
2000,actress,11/28/2000,Acting,Laura San Giacomo
2000,film actor,11/29/2000,Acting,Billy Campbell
2000,actor,11/30/2000,Acting,Anthony Clark
2000,former us senator,11/6/2000,Politician,Arlen Specter
2000,american politician,11/7/2000,Politician,Bob Dole
2000,Stand-up comedian,11/8/2000,Comedy,Richard Belzer
2000,Filmmaker,11/9/2000,Media,Michael Moore
2000,radio personality,12/11/2000,Media,Ira Glass
2000,commentator,12/12/2000,Media,Greta Van Susteren
2000,NA,12/13/2000,NA,no guest
2000,Journalist,12/14/2000,Media,Wolf Blitzer
2000,actress,12/18/2000,Acting,Marla Sokoloff
2000,actress,12/19/2000,Acting,Marisa Tomei
2000,actress,12/20/2000,Acting,Jeri Ryan
2000,film actress,12/21/2000,Acting,Gillian Anderson
2000,actor,12/4/2000,Acting,Thomas Gibson
2000,actress,12/5/2000,Acting,Faith Ford
2000,actor,12/6/2000,Acting,Chris O'Donnell
2000,actor,12/7/2000,Acting,Marlon Wayans
2000,actor,2/1/2000,Acting,Jeff Bridges
2000,actor,2/1/2000,Acting,Vin Diesel
2000,Singer-songwriter,2/14/2000,Musician,Moby
2000,actor,2/15/2000,Acting,Dennis Farina
2000,actor,2/16/2000,Acting,Matthew Perry
2000,comedian,2/17/2000,Comedy,Ed McMahon
2000,former senator from kansas,2/2/2000,Politician,"Focus on New Hampshire Special, special guest Bob Dole"
2000,actor,2/22/2000,Acting,Snoop Dogg
2000,actress,2/23/2000,Acting,Charlize Theron
2000,actress,2/24/2000,Acting,Rachael Leigh Cook
2000,actor,2/28/2000,Acting,Forest Whitaker
2000,actor,2/3/2000,Acting,Jason Priestly
2000,actor,3/1/2000,Acting,Tobey Maguire
2000,stand-up comedian,3/13/2000,Comedy,Eddie Izzard
2000,actress,3/14/2000,Acting,Kim Delaney
2000,Journalist,3/15/2000,Media,Wolf Blitzer
2000,comedian,3/16/2000,Comedy,George Wallace
